id,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,label
0,16.0,,46.88,72.98,,0.25,6.17,21.35,4.47,,8.94,,0
1,16.0,481.0,30.06,32.89,1.0,0.56,11.93,,2.46,0.25,8.94,0.75,0
2,11.0,477.0,43.36,44.42,,0.45,2.07,19.22,,0.0,9.0,0.36,0
3,14.0,363.0,25.93,,0.429,0.5,10.77,19.35,,0.53,8.86,0.86,0
4,,210.0,19.09,16.57,0.091,0.27,10.97,14.62,1.34,0.3,8.91,1.0,0
5,16.0,,42.13,64.11,0.313,0.5,5.15,21.58,,0.0,9.0,0.25,0
6,17.0,1322.0,77.76,73.45,0.353,0.47,6.95,,,1.42,8.18,0.94,0
7,15.0,1228.0,81.87,82.16,0.467,0.93,,20.52,2.07,0.7,8.73,0.47,0
8,14.0,1637.0,116.93,98.08,0.071,0.79,9.27,13.78,0.99,0.53,8.86,0.93,0
9,15.0,2479.0,,314.51,0.2,0.33,0.77,23.55,7.48,1.39,8.07,0.53,0
10,,,176.55,,0.182,0.18,9.23,,2.24,1.01,10.27,0.91,0
11,16.0,709.0,44.31,29.45,0.4379999999999999,0.56,,22.43,7.52,0.0,9.0,0.44,0
12,11.0,111.0,,7.99,0.818,,0.27,23.58,7.81,0.0,,,0
13,14.0,546.0,39.0,,0.7140000000000001,0.79,8.5,23.28,4.27,0.0,9.0,0.5,0
14,121.0,26759.0,221.15,,0.008,0.96,2.2,23.58,4.46,0.55,8.95,,0
15,13.0,,15.38,,0.385,,,19.62,,0.0,9.0,0.85,0
16,,550.0,36.67,,,0.73,11.12,19.73,2.73,0.0,,0.6,0
17,14.0,899.0,,224.44,0.143,,,23.55,,0.0,11.0,0.0,0
18,14.0,251.0,17.93,8.32,0.429,0.5,1.73,20.85,6.95,0.0,9.0,0.14,0
19,37.0,8252.0,223.03,301.06,0.27,0.11,0.18,22.12,7.86,1.18,8.68,0.16,0
20,35.0,619.0,17.69,16.06,,,0.17,23.77,7.34,0.0,9.0,0.46,0
21,31.0,,48.39,41.24,0.5479999999999999,0.23,8.28,,3.4,0.0,9.0,0.71,0
22,,1224.0,94.15,149.52,,0.15,12.9,,,0.0,9.0,0.08,0
23,,515.0,46.82,29.55,0.182,0.64,1.43,,6.13,,9.0,,0
24,,296.0,9.55,3.37,0.032,,0.43,23.57,6.84,0.0,,,0
25,11.0,755.0,68.64,64.56,0.818,,9.82,20.92,3.03,0.87,8.18,0.82,0
26,14.0,1417.0,101.21,120.11,0.214,,3.03,12.37,3.37,0.0,9.0,0.14,0
27,14.0,299.0,21.36,31.24,,,1.55,21.17,8.45,0.0,9.0,0.14,0
28,100.0,2479.0,24.79,2.1,0.07,0.01,,17.43,3.84,0.0,9.0,0.71,0
29,78.0,3792.0,48.62,186.03,,0.06,10.05,22.93,,0.0,9.0,,0
30,,1524.0,66.26,72.97,0.174,0.09,7.73,22.03,5.51,0.0,9.0,0.04,0
31,123.0,,59.41,54.29,,0.98,,22.02,2.94,,9.0,0.41,1
32,,,,128.77,0.267,0.33,16.2,23.92,2.79,0.0,9.0,0.27,0
33,11.0,,45.27,61.96,,0.36,12.6,19.85,1.73,0.5,9.64,0.82,0
34,15.0,,14.8,12.55,0.667,0.4,3.05,,,,9.0,0.53,0
35,51.0,2634.0,,35.65,0.039,1.0,9.98,,2.55,0.0,9.0,0.98,1
36,,5570.0,,429.56,0.273,0.82,12.52,19.25,2.13,0.65,10.73,0.91,0
37,12.0,454.0,37.83,44.11,0.417,0.42,10.8,17.0,2.13,0.0,9.0,1.0,0
38,15.0,1654.0,110.27,199.46,0.4,,,19.0,4.68,1.77,6.47,,0
39,11.0,4383.0,398.45,559.84,0.091,0.09,20.12,22.03,0.67,0.0,11.0,,0
40,14.0,656.0,46.86,21.82,0.143,,19.65,19.9,,,6.71,0.0,0
41,,1168.0,83.43,72.92,0.214,0.07,18.18,,0.41,0.0,9.0,0.0,0
42,,1084.0,98.55,74.3,0.364,,,21.6,,,6.82,,0
43,14.0,547.0,39.07,23.12,0.214,,8.28,,3.14,0.0,,0.79,0
44,16.0,484.0,30.25,23.82,,0.25,,19.25,3.57,,8.38,0.38,0
45,,3423.0,43.33,,,,,20.75,1.74,,9.0,0.54,1
46,63.0,2518.0,39.97,0.25,0.016,0.02,17.15,23.97,2.25,0.0,9.0,0.14,0
47,18.0,697.0,38.72,79.94,0.1669999999999999,0.33,6.18,22.45,4.03,0.65,8.78,0.78,0
48,13.0,828.0,,64.78,0.846,0.62,8.95,16.48,,0.0,9.0,,0
49,,2552.0,98.15,210.86,0.192,0.04,18.92,,0.24,0.0,,0.0,0
50,20.0,897.0,44.85,87.17,0.3,0.35,6.83,19.45,4.62,0.0,9.0,0.25,0
51,12.0,517.0,43.08,30.22,0.1669999999999999,0.58,1.95,21.72,6.64,2.8,6.25,0.42,0
52,19.0,980.0,51.58,51.01,0.684,0.26,10.9,,3.62,0.0,9.0,,0
53,45.0,1798.0,39.96,0.3,0.044,0.02,19.05,23.67,,,9.0,0.0,0
54,12.0,723.0,60.25,86.8,0.417,0.58,4.88,22.67,5.71,0.67,8.5,0.42,0
55,89.0,3953.0,,30.26,0.011,1.0,10.35,16.9,2.2,,9.0,1.0,0
56,11.0,9455.0,859.55,414.37,0.091,1.0,20.22,23.53,,0.0,10.0,0.0,0
57,12.0,303.0,25.25,27.47,0.75,0.83,,20.9,3.5,0.0,9.0,0.83,0
58,18.0,,26.94,,0.833,,5.37,23.32,,0.71,8.83,0.61,0
59,,,219.88,,0.008,,,23.78,,,,,0
60,11.0,33.0,,0.0,,0.09,0.08,20.93,7.41,0.0,9.0,0.18,0
61,11.0,552.0,50.18,33.49,,0.45,10.4,,2.66,1.01,8.27,1.0,0
62,,1453.0,44.03,46.49,0.3329999999999999,0.24,7.55,20.45,4.43,,8.94,0.42,0
63,19.0,730.0,38.42,26.67,,0.16,,18.48,4.7,0.0,9.0,0.42,0
64,20.0,677.0,33.85,27.23,0.6,0.4,6.95,18.38,4.14,,9.0,0.4,0
65,12.0,1170.0,97.5,175.49,0.5,0.17,12.05,13.43,0.45,,,,0
66,12.0,611.0,50.92,,0.75,,12.68,22.23,4.0,0.0,,0.42,0
67,17.0,287.0,16.88,,0.235,0.65,8.12,20.42,3.85,0.49,8.88,0.35,0
68,21.0,,159.76,251.29,0.143,0.57,8.8,21.57,4.82,1.01,8.14,0.38,0
69,49.0,1412.0,28.82,,0.102,0.39,0.0,23.32,5.42,,8.71,0.37,0
70,17.0,1500.0,88.24,118.21,0.294,0.06,14.13,21.2,1.65,0.0,9.0,0.94,0
71,20.0,380.0,19.0,,0.35,0.8,10.57,15.28,1.38,0.0,9.0,1.0,0
72,14.0,379.0,27.07,19.42,0.857,0.64,14.47,23.07,,0.0,9.0,0.43,0
73,24.0,684.0,,23.54,,0.29,13.0,22.75,2.73,0.0,9.0,0.83,0
74,28.0,4480.0,,188.18,0.107,0.57,11.47,22.55,3.15,1.2,8.5,,0
75,,1526.0,,158.63,0.273,0.55,,23.53,5.91,0.3,8.91,0.27,0
76,12.0,1347.0,112.25,188.64,0.583,,0.0,11.87,,1.56,8.33,0.5,0
77,,493.0,41.08,,,0.17,,,1.99,,9.0,0.75,0
78,11.0,259.0,23.55,8.47,0.273,0.64,10.37,22.9,,0.3,8.91,0.64,0
79,11.0,737.0,,,0.273,,9.93,,3.85,0.81,8.64,,0
80,,2487.0,155.44,265.08,,0.13,5.35,9.33,1.67,0.25,9.06,,0
81,12.0,515.0,42.92,,1.0,0.5,6.63,21.5,6.36,1.44,8.58,0.08,0
82,11.0,474.0,,40.99,0.636,0.36,4.98,14.48,3.97,0.6,,0.55,0
83,11.0,105.0,9.55,3.64,,0.09,0.27,16.05,,0.0,9.0,0.09,0
84,13.0,514.0,39.54,26.99,0.615,,9.47,20.68,,0.75,9.31,0.85,0
85,,6534.0,176.59,325.31,0.054,0.19,0.38,23.4,6.61,1.01,,0.59,0
86,13.0,4963.0,381.77,750.17,,0.31,,,3.87,2.19,7.85,0.62,0
87,12.0,,331.92,551.72,0.417,0.58,,23.37,5.41,1.48,8.0,0.17,0
88,12.0,2081.0,173.42,211.15,0.5,,10.73,,,0.0,10.0,0.67,0
89,12.0,747.0,62.25,74.13,,,8.0,20.83,5.11,0.45,8.75,0.25,0
90,11.0,3541.0,321.91,,0.273,0.27,13.1,23.33,,,11.0,0.55,0
91,14.0,,37.07,36.94,0.5710000000000001,,18.42,23.6,1.61,0.27,8.93,0.0,0
92,13.0,,1008.08,269.36,0.231,1.0,20.08,23.45,,0.0,10.0,0.0,0
93,13.0,748.0,57.54,,0.462,0.46,0.6,20.57,4.75,0.55,8.85,0.69,0
94,13.0,763.0,58.69,36.72,0.6920000000000001,0.54,,15.62,2.72,1.95,7.85,0.38,0
95,14.0,541.0,,39.34,0.214,0.57,0.05,22.62,,,8.57,0.5,0
96,22.0,1752.0,79.64,192.69,0.364,0.32,11.12,20.1,2.83,0.35,8.86,0.95,0
97,32.0,,28.91,,,0.63,15.12,23.83,2.15,,9.0,,0
98,137.0,5408.0,,,0.036,,10.2,19.47,3.1,0.21,9.0,,1
99,11.0,413.0,37.55,,,0.55,,,3.48,0.0,9.0,0.64,0
100,,,,184.94,0.05,0.35,6.42,21.03,4.76,0.73,,0.45,0
101,12.0,526.0,43.83,63.39,0.583,0.33,10.13,,3.76,0.0,9.0,,0
102,31.0,1702.0,54.9,,0.871,,8.83,21.97,3.49,0.36,8.94,0.71,0
103,11.0,,36.45,43.68,,0.27,18.38,22.73,1.84,0.4,9.82,0.0,0
104,15.0,892.0,59.47,65.69,0.4,,2.82,20.9,5.81,,8.8,0.47,0
105,11.0,198.0,18.0,12.65,0.455,0.55,,16.77,4.08,2.46,7.36,0.27,0
106,11.0,1224.0,,88.41,0.545,0.27,0.9,20.97,,0.0,9.0,0.36,0
107,28.0,1346.0,48.07,,0.143,,7.42,17.93,3.61,0.0,9.0,0.68,0
108,12.0,1046.0,87.17,,0.75,0.42,7.52,20.7,4.28,0.98,8.33,,0
109,30.0,530.0,17.67,45.53,0.233,0.07,8.98,13.35,1.6,0.0,9.0,,0
110,13.0,1191.0,91.62,,0.615,,7.9,,5.01,,8.54,,0
111,21.0,1232.0,58.67,,0.619,0.43,,18.62,2.84,,9.0,,0
112,15.0,384.0,25.6,21.2,0.3329999999999999,0.47,,23.73,8.26,0.0,9.0,,0
113,13.0,1856.0,142.77,208.96,0.385,0.23,,15.7,2.61,0.0,10.0,0.92,0
114,22.0,2130.0,96.82,106.22,,,,23.7,5.84,0.75,9.09,0.32,0
115,25.0,1770.0,70.8,,0.04,0.72,13.73,,,,9.0,1.0,0
116,,509.0,42.42,28.84,0.833,0.42,7.47,23.0,4.95,0.0,9.0,0.25,0
117,58.0,,58.79,50.82,0.017,0.98,,,0.7,0.0,8.0,1.0,1
118,20.0,2647.0,132.35,,0.3,,8.47,22.2,3.78,1.07,7.75,0.65,0
119,11.0,2023.0,183.91,187.57,0.545,0.73,9.63,,3.78,0.0,9.0,0.45,0
120,15.0,961.0,64.07,60.29,0.133,0.33,8.87,20.75,4.25,0.0,9.0,0.33,0
121,56.0,,83.88,110.28,0.018,0.93,,17.72,1.81,0.0,9.0,0.96,1
122,,351.0,,19.04,0.6,0.27,8.02,,,0.0,9.0,0.67,0
123,11.0,383.0,34.82,34.49,0.545,0.64,7.22,,,0.0,,0.27,0
124,,950.0,79.17,,,0.5,,21.35,,,9.0,0.67,0
125,14.0,581.0,41.5,50.0,0.929,0.5,9.18,19.3,3.69,0.0,,0.5,0
126,11.0,1474.0,134.0,,0.273,0.36,7.83,21.53,3.93,0.6,10.82,,0
127,,1861.0,41.36,23.71,0.089,,17.3,20.63,,0.0,9.0,0.27,0
128,12.0,131.0,10.92,3.73,,0.17,0.03,,2.64,,9.0,0.0,0
129,17.0,397.0,23.35,15.7,0.765,0.59,,,,1.18,8.47,0.0,0
130,,,19.14,12.64,0.7140000000000001,0.07,7.85,14.25,2.58,,,,0
131,41.0,,2.98,0.16,0.073,0.02,1.35,23.93,3.58,0.0,9.0,,0
132,105.0,8652.0,82.4,169.4,,0.9,9.8,21.85,4.58,,,0.55,1
133,,578.0,48.17,,0.667,,4.98,22.87,5.6,0.0,11.0,0.33,0
134,,1395.0,126.82,,0.364,0.36,,21.48,,0.0,9.0,0.09,0
135,11.0,320.0,29.09,33.5,0.273,,15.82,18.47,,,9.0,0.82,0
136,16.0,348.0,21.75,18.78,0.688,0.75,10.68,16.88,1.63,0.0,9.0,1.0,0
137,,384.0,29.54,,0.846,0.62,9.05,18.0,3.5,,8.85,0.62,0
138,12.0,170.0,14.17,9.44,0.833,0.58,1.92,18.08,5.58,0.0,,0.67,0
139,13.0,542.0,41.69,,0.231,0.15,8.57,,5.54,0.88,9.46,0.08,0
140,15.0,617.0,41.13,24.34,0.867,0.8,0.25,,6.57,0.52,8.87,0.6,0
141,,5380.0,49.81,,0.009,,9.97,17.38,,0.0,9.0,0.99,1
142,11.0,,53.55,44.56,,0.45,8.63,22.1,5.04,,8.73,0.45,0
143,11.0,178.0,,6.71,0.364,,,21.28,0.23,0.0,5.0,0.0,0
144,13.0,1321.0,101.62,139.9,0.846,0.69,13.03,,2.06,,9.0,0.77,0
145,24.0,1387.0,57.79,71.62,0.3329999999999999,0.17,,19.38,4.2,0.0,9.0,0.54,0
146,11.0,,263.91,327.39,0.273,0.64,11.9,20.08,2.61,0.81,10.64,0.91,0
147,76.0,2019.0,26.57,38.02,0.105,0.82,0.0,,,0.69,7.29,,0
148,,75.0,3.0,0.0,0.16,0.04,1.67,23.05,9.42,,9.0,0.0,0
149,,1143.0,,,0.75,0.44,9.8,20.68,3.57,0.25,8.94,0.44,0
150,21.0,5016.0,238.86,676.9,0.238,0.24,,,,0.0,,,0
151,,553.0,42.54,42.19,0.5379999999999999,,11.4,,3.24,0.75,,0.77,0
152,,639.0,,42.2,0.211,0.42,5.97,22.23,5.87,,,0.16,0
153,17.0,,23.29,35.12,0.588,,,18.13,2.19,0.0,9.0,,0
154,11.0,409.0,37.18,47.23,0.273,1.0,8.8,,3.88,,8.82,,0
155,16.0,2158.0,,253.34,0.375,,0.25,16.12,,0.5,10.88,0.94,0
156,,36.0,3.0,,0.083,,,22.85,,,,0.58,0
157,,1097.0,45.71,33.04,0.3329999999999999,,7.72,,4.34,0.2,9.04,0.46,0
158,11.0,410.0,37.27,,0.182,0.36,9.33,19.9,2.9,0.0,,0.82,0
159,15.0,,81.53,99.3,0.4,0.53,9.35,21.47,4.13,0.0,9.0,0.67,0
160,19.0,,76.89,66.92,0.316,0.37,7.68,13.02,,0.0,9.0,0.32,0
161,,39.0,3.0,0.0,0.154,0.08,0.05,22.35,6.72,,9.0,0.38,0
162,14.0,364.0,26.0,25.05,0.214,0.29,5.27,18.03,3.1,2.05,7.71,0.86,0
163,12.0,3629.0,302.42,215.42,0.5,0.25,2.58,21.1,6.24,0.0,10.0,0.42,0
164,,13701.0,1053.92,90.13,0.077,0.38,20.12,23.68,,0.0,10.0,0.0,0
165,13.0,,64.31,,0.615,0.31,,22.35,,0.0,,0.54,0
166,11.0,,,97.08,0.091,0.55,,23.65,0.98,,,0.0,0
167,34.0,,106.47,105.48,0.118,0.03,7.18,23.1,4.62,0.0,5.0,0.0,0
168,12.0,,,6.49,0.75,0.5,1.5,21.18,7.45,0.0,9.0,,0
169,34.0,1132.0,,,0.5,0.44,,23.25,5.32,0.43,8.76,,0
170,11.0,1388.0,,112.46,0.273,0.18,2.57,,,1.21,,0.45,0
171,18.0,1061.0,58.94,101.42,0.1669999999999999,0.72,8.1,,4.11,1.53,,0.61,0
172,13.0,1001.0,77.0,76.54,,0.23,11.2,,2.86,0.88,8.54,0.77,0
173,15.0,760.0,,52.33,0.4,0.67,1.37,16.65,4.05,0.56,8.8,0.8,0
174,14.0,334.0,23.86,25.39,,0.86,,19.85,3.34,0.0,,0.79,0
175,13.0,299.0,,17.33,0.308,0.46,0.6,,6.1,0.0,,0.08,0
176,12.0,420.0,35.0,32.29,0.75,,2.73,23.73,8.73,0.0,9.0,0.08,0
177,13.0,271.0,20.85,12.69,,0.23,7.75,14.47,,,9.0,0.54,0
178,,1557.0,141.55,299.14,0.182,0.27,9.58,20.38,5.12,0.0,11.0,0.27,0
179,11.0,529.0,48.09,56.37,,0.55,12.98,21.5,2.95,,9.0,0.45,0
180,68.0,2918.0,42.91,31.69,0.074,0.9,10.68,16.37,,0.0,9.0,1.0,1
181,38.0,2057.0,54.13,59.0,,0.29,,,7.61,0.0,9.0,0.32,0
182,14.0,667.0,,65.56,,0.57,8.78,19.82,2.81,0.73,8.71,0.86,0
183,18.0,334.0,18.56,16.13,1.0,0.61,0.85,21.77,6.83,0.0,9.0,0.28,0
184,15.0,792.0,,,0.4,0.33,,21.13,3.2,0.52,,0.8,0
185,18.0,776.0,,41.78,,,0.05,23.62,9.27,,,0.22,0
186,16.0,,54.5,63.24,,0.75,7.23,20.23,4.77,0.58,8.75,0.25,0
187,12.0,36.0,3.0,0.0,0.1669999999999999,0.08,5.95,,6.24,,9.0,0.33,0
188,18.0,,44.67,32.85,,0.44,0.07,22.0,5.87,0.0,9.0,0.17,0
189,95.0,2518.0,26.51,21.27,0.042,1.0,9.78,15.93,2.07,0.0,,0.89,0
190,,1033.0,28.69,19.27,0.111,0.44,,23.8,,0.17,8.97,0.03,0
191,11.0,12146.0,1104.18,120.96,0.091,1.0,20.13,23.42,1.1,,10.0,0.0,0
192,13.0,431.0,33.15,,0.923,0.62,,21.07,2.92,0.51,,0.46,0
193,11.0,,,25.83,0.091,0.55,,19.25,0.72,0.9,8.73,0.27,0
194,11.0,2481.0,225.55,508.33,,,6.37,,7.0,1.21,,0.09,0
195,16.0,359.0,22.44,10.04,0.563,,11.03,15.88,1.17,0.0,9.0,1.0,0
196,43.0,1484.0,34.51,53.29,0.465,0.49,6.82,20.78,5.05,0.0,9.0,0.42,0
197,48.0,,,19.95,0.125,0.98,15.37,19.98,1.39,0.0,9.0,0.48,0
