,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,label
0,7.809,-4.121,-2.166,-4.045,,-2.472,0.007,-2.081,,-1.128,-0.521,-0.569,-0.985,-0.048,-8.003247,-4.806843,4.1483555,A
1,2.134,-1.906,-0.834,,-2.064,-1.704,1.233,0.42,0.204,-2.506,-0.914,-1.456,2.29,-2.858,17.200422,5.29226,-14.406137,A
2,7.471,-0.613,-1.064,7.556,-1.755,-2.192,3.216,1.288,-3.782,-2.145,-1.701,1.904,,-2.389,19.90057,6.0411563,,A
3,-4.281,-0.603,1.108,0.021,-1.659,-0.71,0.458,,-1.01,2.847,0.317,0.121,-1.123,-1.144,-0.012258202,-0.5833826,0.1490309,B
4,,4.037,-6.119,-0.283,-1.032,2.285,-0.816,-0.32,2.272,-1.083,1.182,-1.877,0.308,-0.802,-2.59207,,4.3653927,G
5,-7.285,-3.806,-2.053,0.329,-0.363,-1.145,1.436,-0.701,,-0.302,,0.435,,-0.062,0.7150521,,-0.3650794,B
6,-2.223,3.999,-6.597,-1.065,-0.032,1.071,-0.406,-0.578,1.135,-0.621,1.946,0.442,2.133,-1.587,-4.721588,-1.2200869,6.449627,G
7,-3.155,-0.623,-1.593,-1.191,-4.066,-0.67,-2.041,0.288,0.971,-1.456,0.522,,1.023,2.716,,-1.7138609,,B
8,-3.55,-0.668,,-0.642,2.955,1.159,-1.19,0.886,0.599,-1.682,0.342,-2.175,1.839,-0.524,-2.2193358,-0.0021390915,2.5296159,E
9,-6.997,-4.074,,-0.111,-0.186,-0.816,-0.868,0.248,0.454,,0.196,-0.82,0.594,-0.737,-0.16392486,,0.056293637,E
10,9.257,,-1.468,-2.766,-0.741,-0.536,-0.126,0.046,-1.269,,0.681,-0.356,-0.187,0.313,-6.877434,-3.078339,,A
11,11.455,-5.995,-2.793,-3.144,2.153,0.568,0.087,-0.2,2.056,1.12,,,-1.579,,-7.272361,-2.2742085,5.236742,A
12,0.386,-3.219,-0.57,6.314,-2.12,,0.699,0.304,5.288,-0.206,0.454,2.005,2.189,,13.504948,6.4812694,-8.450433,A
13,5.334,-2.183,-1.012,9.504,-1.4,-0.173,3.928,0.683,-2.597,-2.654,,,0.368,-0.666,24.310057,9.305947,-20.842062,A
14,-0.393,0.841,4.217,2.297,3.665,0.412,0.461,4.802,0.631,0.762,-0.059,-1.915,-2.823,-1.818,,,-3.7215915,E
15,4.84,,-1.297,8.266,-2.314,-1.041,2.995,0.572,-0.788,-3.432,-1.836,,1.027,-3.265,,7.4460864,-18.335108,A
16,2.221,,-3.508,0.822,1.935,0.642,-1.396,0.59,0.134,0.935,-1.777,0.736,-1.092,-1.094,3.401492,1.9975044,,G
17,1.838,3.072,,-2.863,-1.153,2.892,-1.898,2.71,,-1.191,1.834,2.703,,-0.989,-9.40704,-1.5879478,10.4319315,B
18,-2.955,-1.012,-1.999,1.01,-2.6,-2.138,4.696,4.678,1.293,1.321,-1.337,-1.032,-0.011,0.087,,0.20237386,-5.809969,A
19,2.686,4.193,0.341,1.537,3.667,-3.555,5.182,1.469,-1.661,1.093,1.085,5.112,-0.715,2.508,3.7399817,-1.4270003,-2.6877062,G
20,,,4.184,-1.059,-1.301,6.926,-0.753,,-0.222,-3.001,0.703,-0.038,0.236,,,3.0669653,7.709552,A
21,-6.896,-3.655,-3.539,,1.308,0.994,,0.984,-3.908,0.057,-0.572,-0.473,-0.871,1.642,2.0545626,1.598887,-1.8614991,E
22,-6.527,-4.667,-4.095,1.733,0.127,0.487,-1.347,2.337,-1.75,0.79,1.081,,-0.433,1.377,2.7963986,1.2760608,-0.40269113,E
23,0.581,2.554,4.948,-2.083,-3.75,-0.539,,-1.353,-2.225,1.539,-0.878,0.226,-1.781,-2.334,-3.7852771,-1.7135825,,A
24,1.822,0.945,-0.659,0.771,-3.511,-0.767,-4.272,-0.91,,-1.552,0.644,0.343,-0.653,-0.898,1.427171,-0.1289739,,A
25,,0.459,-0.949,-1.625,-2.904,1.9,-1.535,,-0.38,-0.615,0.497,1.99,0.112,-0.795,-4.902125,-0.46981734,,B
26,6.026,3.851,-0.135,2.57,-1.769,,4.126,3.173,-3.52,-3.052,-3.223,-1.473,,-0.784,9.902326,2.331539,-12.444225,B
27,-6.116,-1.066,-4.944,-1.206,-1.072,0.666,0.198,1.501,0.68,-0.612,1.227,2.067,-1.16,-0.764,-4.2112837,-1.2398868,,G
28,-7.791,-3.559,-0.393,-0.02,2.843,1.005,-1.065,0.286,-1.262,-1.758,-2.185,-2.113,0.39,-0.352,1.7214361,1.694826,-3.761236,E
29,2.534,1.606,,,-2.599,2.774,2.145,,0.735,1.26,0.839,-3.077,0.083,0.988,-5.027,0.09917393,5.874457,A
30,4.759,-3.93,1.643,,-0.364,1.143,0.22,-1.839,0.181,1.547,5.478,-0.002,-1.998,0.771,14.294364,,-2.6562319,A
31,-6.007,-3.527,-2.674,0.971,1.312,-0.728,-0.695,,-2.993,2.021,1.021,0.224,0.832,1.241,,-0.11750436,-0.02989626,E
32,-0.265,0.414,2.132,-2.103,-3.375,3.68,-0.695,-0.485,-2.234,-1.596,-1.228,,-2.555,0.374,-4.9551973,1.0839653,3.4311101,B
33,-1.439,-1.664,5.085,,5.101,2.198,-3.267,0.745,0.907,0.425,0.879,-2.056,,-0.722,,3.2743738,,E
34,,2.211,-2.978,-1.158,-0.649,-1.388,-0.836,,2.525,,0.575,-0.812,1.19,1.476,-2.756651,-2.1609652,2.2199383,G
35,-3.282,-2.427,-1.363,0.278,-3.825,-3.557,-1.852,0.673,3.859,0.522,,-0.111,-1.621,,2.0064824,,-3.0494924,A
36,,7.415,-0.711,-2.655,,-0.101,0.023,-1.406,-0.06,,1.824,0.489,-0.488,,,-3.276,8.118761,G
37,-7.659,-0.386,-3.867,,-0.095,-0.312,0.264,,-0.455,-0.289,0.937,-0.285,-0.559,-0.477,-3.4177465,-1.6432434,3.6095784,G
38,0.223,0.457,3.32,0.721,,6.822,-3.127,1.661,2.325,0.369,-0.238,1.495,0.762,1.008,,5.016087,2.7287173,B
39,1.198,,4.259,,3.256,-0.134,,-0.41,,-0.098,0.818,2.362,0.944,-0.37,3.8474932,1.2358782,-1.7637795,B
40,-6.324,,,-1.979,3.68,1.106,-0.075,-1.729,-0.431,,-1.844,0.267,2.276,-0.111,-3.179212,-0.11443478,0.29795384,E
41,2.777,0.001,,-1.589,,2.84,1.059,-3.893,-0.839,-1.105,,,0.405,-0.016,-5.8380814,-0.20487821,6.9884176,B
42,-5.909,-0.284,-3.122,0.301,0.916,,,-0.885,-1.863,,0.848,0.783,-1.446,0.132,-0.051961184,-0.2894261,,G
43,-3.258,2.353,-4.351,0.322,-1.896,1.183,-1.727,-2.552,1.039,-0.045,1.708,,0.532,0.474,-1.3188,,3.7017481,G
44,8.623,-4.461,-3.0,,1.596,,-0.621,1.571,,,0.643,-0.972,,-0.234,-4.0367064,-2.2392955,3.4575565,A
45,-2.184,0.698,,-1.048,-1.092,-2.896,-1.936,-0.282,-0.151,-0.417,1.986,-0.01,0.323,-2.397,-3.3457427,-3.7088172,3.9277966,A
46,3.765,1.967,,2.336,0.567,,-4.267,0.564,-1.697,0.569,1.403,,,-1.149,,2.6231391,0.25532436,B
47,0.035,6.364,-5.04,1.513,1.309,0.265,-1.512,0.048,,-0.298,0.787,-1.048,-0.17,-0.688,,1.0914869,-0.77460265,G
48,5.564,-2.724,,12.059,-0.898,-0.456,1.126,,-1.578,-0.677,3.687,-0.335,,-0.233,24.505688,8.373121,-13.103018,A
49,-5.569,-3.444,,0.305,1.112,0.555,3.869,,-1.506,0.828,,1.518,-0.749,1.216,,-0.3240869,3.6932337,E
50,2.324,6.239,-2.792,2.68,4.019,-0.259,-0.1,-0.664,-1.325,1.243,-3.975,0.876,-2.091,2.269,,4.1384954,-12.772486,G
51,-0.139,6.724,-4.312,0.888,0.833,-0.153,0.993,-0.787,-1.627,1.225,-0.198,-0.123,,-0.039,2.3006546,0.7745217,-1.9979737,G
52,12.131,-3.394,-2.412,-4.639,0.463,0.162,0.935,-0.579,0.855,-0.9,0.42,-0.252,,,-11.202911,,8.773565,A
53,-2.878,-1.989,-0.367,0.668,-2.387,3.18,-1.043,-0.894,-1.073,3.641,-0.363,1.755,2.207,-0.316,0.7956811,2.7517476,0.1998896,B
54,,0.954,2.389,-2.651,-0.265,-0.321,-0.302,,-0.197,-1.083,-1.173,-0.779,-0.033,0.784,-4.890154,-1.9247913,1.8693888,B
55,0.44,-0.689,3.193,2.574,,3.498,0.535,-2.35,0.691,1.004,-1.333,-1.653,-1.483,0.952,6.03755,5.089017,-4.7783136,B
56,-6.589,-2.146,,-0.71,-0.824,0.001,-0.056,,-1.342,1.222,0.362,1.46,-1.195,-0.033,-1.9946957,-0.7961913,1.9333067,E
57,-4.172,-1.334,0.267,-1.819,-2.339,,0.122,-0.028,-1.564,0.098,1.084,-0.264,2.853,,-5.3228045,-2.0075824,,A
58,,-5.307,-3.874,,-3.08,0.121,-1.886,0.625,2.169,0.032,-1.031,1.845,-1.405,-0.302,9.578185,3.8250346,-8.292318,A
59,0.697,6.407,,-1.589,0.447,0.5,,-1.508,1.996,-0.352,3.433,0.06,0.272,-0.533,-7.176917,-2.7702694,,G
60,1.394,7.681,-4.607,0.196,1.402,-1.787,1.126,-0.019,0.737,0.221,-0.414,-0.498,,0.044,1.4742156,-0.74318254,-2.3325253,G
61,-5.711,,-3.22,-2.057,-1.311,1.229,1.778,-0.683,1.349,1.204,1.889,-1.587,4.228,-2.179,-7.0177875,-1.9555216,8.107009,G
62,-5.987,-2.779,,,-1.005,-0.192,0.46,,2.376,-2.78,-0.663,,1.187,-0.01,1.5675867,0.53101736,-2.0989118,E
63,5.9,-4.776,0.322,-2.778,2.876,-1.163,-0.233,-1.512,-0.457,0.423,0.419,1.388,,0.121,-6.4341125,-3.3514698,,A
64,2.663,3.809,0.642,,4.493,-3.002,5.032,,-1.375,1.073,1.179,4.955,-1.523,2.026,4.3022676,-0.809974,-2.752265,G
65,-2.783,-0.624,3.316,,0.554,-1.442,2.328,,,0.597,-1.182,1.119,-0.754,1.215,-2.1082182,-1.7265217,-0.61132216,E
66,-3.988,1.506,-1.647,-0.804,-1.304,,-0.842,-3.503,-0.108,0.945,0.312,-0.852,-0.636,0.16,-2.257149,-0.6847304,2.1644504,G
