id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,label
0,20.425,T,-1.652,0.316,-0.314,-0.369,1.042,-0.129,1.388,-0.262,0.10300000011920929,-0.453,1.317,0.204,0.127,G
1,-13.343,O,-8.962,-0.472,0.729,-1.48,-2.592,,2.0,1.0,1.04,0.242,0.949,-2.607,0.119,F
2,-7.947,P,16.805,,0.509,,0.918,,5.0,4.0,1.011,-0.145,0.114,0.149,-0.219,A
3,-2.933,W,-2.21,,-0.112,0.368,-0.788,-0.016,-1.628,-1.035,,-0.521,1.492,-0.404,0.032,L
4,,O,-13.014,-1.427,-0.349,,-2.207,1.593,3.0,3.0,-0.13500000536441803,0.006,,0.222,0.1,B
5,20.031,T,-4.903,,-0.968,,-0.687,-0.513,1.252,3.0,2.0250000953674316,1.368,,0.111,1.296,G
6,17.631,U,,0.494,1.035,4.559,3.898,1.695,4.0,1.0,1.057,-0.845,-0.402,-2.541,-0.789,D
7,-2.753,K,-0.895,-1.152,0.173,0.229,,-0.836,0.213,3.0,4.068,-0.127,-0.429,-1.228,1.111,E
8,-2.724,L,-1.203,-2.063,-0.281,-0.664,-0.664,-0.337,4.0,2.0,-0.9110000133514404,0.138,-0.602,,-1.703,E
9,-3.517,K,-0.64,-2.513,-0.385,-0.206,,-0.51,0.094,0.0,0.023,,,-2.286,1.172,E
10,0.079,Q,-16.623,,-0.682,,-1.374,-2.593,3.936,,1.2480000257492065,0.807,-2.922,0.405,1.571,L
11,-12.502,N,-7.732,-0.822,-0.381,,-0.992,5.251,7.0,1.0,-0.012000000104308128,0.427,-0.617,-1.972,0.22,F
12,,K,0.209,-1.155,,1.137,,-0.615,2.0,1.0,1.046,-0.112,-0.568,1.21,,E
13,-15.309,,,-2.125,0.66,-0.817,-1.982,2.686,6.0,0.0,0.016,,1.937,-0.364,0.684,B
14,,O,,,0.338,0.068,-0.267,2.508,1.0,0.0,-1.0149999856948853,-1.346,0.887,0.385,-0.337,B
15,-5.697,K,-1.721,,-1.626,-2.165,2.196,0.49,1.42,0.839,-1.1629999876022339,0.161,-0.017,-0.64,,J
16,,Q,-13.348,,0.132,,-0.292,0.218,6.0,0.0,0.01,-0.92,,0.459,-0.401,B
17,-0.332,K,1.298,-1.194,1.164,,-2.789,-0.843,-1.427,1.0,1.022,,-0.254,-0.11,-0.741,E
